date,actual_price,predicted_price,abs_error
2024-01-01,8793.9,9267.54581851897,473.64581851896946
2024-01-02,8529.933333333332,9023.332016475786,493.3986831424536
2024-01-03,8265.966666666667,8763.063251693837,497.09658502716957
2024-01-04,8002.0,8474.67575672087,472.6757567208697
2024-01-05,11089.0,8209.417298780238,2879.5827012197624
2024-01-06,10953.333333333334,10576.431638421103,376.9016949122306
2024-01-07,10817.666666666666,10290.359679558695,527.3069871079715
2024-01-08,10682.0,10418.603223565988,263.3967764340123
2024-01-09,8272.5,10429.51523647195,2157.0152364719506
2024-01-10,10397.5,8660.928762891592,1736.5712371084082
2024-01-11,10363.75,10569.711764178039,205.96176417803872
2024-01-12,10330.0,10261.787127016189,68.2128729838114
2024-01-13,10408.5,10338.782608133783,69.71739186621744
2024-01-14,10487.0,10213.760864836677,273.2391351633232
2024-01-15,10565.5,10358.554073639012,206.94592636098787
2024-01-16,10644.0,10521.18374948347,122.81625051652918
2024-01-17,10722.5,10584.088302656466,138.4116973435339
2024-01-18,10801.0,10657.47139045799,143.5286095420106
2024-01-19,9317.0,10736.004468249135,1419.0044682491352
2024-01-20,8805.666666666666,9610.109189168536,804.4425225018695
2024-01-21,8294.333333333334,9264.220883929487,969.8875505961532
2024-01-22,7783.0,8760.889027585581,977.8890275855811
2024-01-23,10529.5,8296.444337375224,2233.0556626247762
2024-01-24,10751.5,10270.497538325206,481.0024616747942
2024-01-25,8876.75,10204.42682795944,1327.6768279594398
2024-01-26,7002.0,8884.422546981858,1882.4225469818575
2024-01-27,7613.5,7470.837092598179,142.66290740182103
2024-01-28,8225.0,8158.7152924684015,66.28470753159854
2024-01-29,10712.666666666666,8546.697192223457,2165.969474443209
2024-01-30,11857.666666666666,10297.791874772576,1559.8747918940899
2024-01-31,10879.0,10848.377283101037,30.622716898962608
2024-02-01,11329.5,10137.078024619634,1192.4219753803663
2024-02-02,11312.333333333334,10818.142055061646,494.19127827168813
2024-02-03,11368.888888888889,11056.719903755757,312.1689851331321
2024-02-04,11425.444444444445,11383.532214911453,41.91222953299257
2024-02-05,11482.0,11377.225037165967,104.77496283403343
2024-02-06,10422.333333333334,11426.084774636467,1003.7514413031331
2024-02-07,11601.5,10603.542722609103,997.9572773908967
2024-02-08,11629.333333333334,11608.301720809604,21.031612523729564
2024-02-09,11640.333333333334,11502.37321742567,137.96011590766466
2024-02-10,11539.0,11585.96135419607,46.961354196069806
2024-02-11,11539.0,11413.034100654675,125.96589934532494
2024-02-12,13055.666666666666,11496.25944388331,1559.4072227833567
2024-02-13,11117.0,12759.959505875495,1642.9595058754949
2024-02-14,11195.75,11156.945907764013,38.8040922359869
2024-02-15,12057.5,11403.965670635474,653.5343293645255
2024-02-16,12389.2,11953.979719331417,435.22028066858365
2024-02-17,12543.911111111112,12322.78523231611,221.1258787950028
2024-02-18,12698.622222222222,12343.762207717884,354.8600145043383
2024-02-19,12853.333333333334,12419.717154446535,433.6161788867994
2024-02-20,11427.0,12657.096699369751,1230.0966993697511
2024-02-21,10852.0,11619.917240329496,767.917240329496
2024-02-22,11287.2,11283.480586924496,3.7194130755051447
2024-02-23,11531.2,11574.569516815867,43.36951681586652
2024-02-24,11601.0,11699.287282275045,98.28728227504507
2024-02-25,10412.0,11612.936739373423,1200.9367393734228
2024-02-26,11613.2,10555.103669169124,1058.0963308308765
2024-02-27,10496.5,11593.591264321836,1097.0912643218362
2024-02-28,11994.25,10625.664850643667,1368.5851493563332
2024-02-29,12574.75,11904.781079162596,669.9689208374039
2024-03-01,12328.6,12134.97755780905,193.6224421909501
2024-03-02,12578.133333333333,12073.320826030427,504.81250730290594
2024-03-03,12827.666666666668,12286.516263058762,541.1504036079059
