crop,district,year,horizon_weeks,modal_price_mean,modal_price_std,modal_price_min,modal_price_max,temp_max_c_mean,temp_max_c_std,temp_min_c_mean,temp_min_c_std,rainfall_mm_mean,rainfall_mm_std,rainfall_mm_sum,humidity_avg_pct_mean,humidity_avg_pct_std,evapotranspiration_mm_mean,evapotranspiration_mm_std,price_volatility_mean,price_volatility_std,yield_kg_ha,split
Turmeric,Erode,2015,4,7654.518518518519,486.05930799814166,6544.0,8201.5,28.58785294117647,0.56514994794994,19.926088235294113,1.6696300068762522,0.14705882352941177,0.3327561323230812,2.5,66.78495623529412,5.303130783160692,3.8754257764705886,0.5148015304214116,1420.699234655155,295.7129260083441,7222.0,train
Turmeric,Erode,2016,4,9517.833333333334,397.88468457861285,8950.0,10034.0,29.986055555555552,0.44351465242264615,19.591611111111106,0.9882371447790189,0.0,0.0,0.0,59.89079038888888,3.6015834387617187,4.4142549055555556,0.3952246751263717,446.09764073313704,21.08368357307062,7029.0,train
Turmeric,Erode,2017,4,7817.375,133.22247605040226,7474.0,8012.0,32.702777777777776,0.7753981454392425,20.802777777777777,0.8564254235908926,0.011111111111111112,0.03142696805273545,0.2,52.555762055555554,3.6086277495010872,4.9207339333333335,0.5054751193690799,356.71585111503845,17.48558386533663,7395.0,train
Turmeric,Erode,2018,4,6997.689393939393,177.7670387453173,6650.0,7173.75,32.56388888888889,1.4218342569796902,20.947222222222223,1.3509741569843248,0.17777777777777778,0.6187402574367047,3.2,56.54564538888889,6.812094565333299,4.562445116666667,0.7333019026684442,525.6530801268708,15.627121226888983,7473.0,train
Turmeric,Erode,2019,4,6435.28125,71.61359393255934,6276.25,6528.5,32.90833333333333,0.8283601605313683,18.58055555555556,0.8469125116971268,0.011111111111111112,0.04581228472908512,0.2,54.81344966666667,3.2887340432375094,5.0707732722222225,0.2747543892421451,531.3131236093977,46.250323080619815,7326.0,train
Turmeric,Erode,2020,4,6145.75,120.85347533273506,5840.5,6252.25,32.51944444444445,0.6868080131401935,21.577777777777776,1.6400560815463852,0.5055555555555556,0.8181769858941974,9.100000000000001,63.040812833333334,5.056997392084602,4.2863834,0.5213896569150872,334.7129760300543,13.600900876942605,7236.0,train
Turmeric,Erode,2021,4,5453.285714285715,251.14638690027223,4893.0,5753.0,28.816666666666663,1.1846237095944576,21.405555555555555,1.3625842368342358,4.211111069444445,4.4299346738627525,75.79999925,78.40109722222222,4.39550770281699,2.8400082555555555,0.7955883418122752,304.7825959393219,14.433923915500738,7500.0,val
Turmeric,Erode,2022,4,7276.15,211.95321417709144,7010.0,7847.0,31.216666666666665,0.6641619615057097,20.605555555555554,0.9096533052776036,0.48333335555555557,0.8814445553034387,8.7000004,68.46688205555557,2.5175588927616745,4.0254359611111115,0.28612725401667216,447.68815798978096,15.960240130396238,7616.0,val
Turmeric,Erode,2023,4,6318.487878787879,309.21984081569923,6010.2,7182.0,31.827777777777776,0.7087199380695341,18.94166666666667,1.2161243083391322,0.01666666666666667,0.05000000000000001,0.30000000000000004,60.841376499999996,2.3874572562893777,4.645638172222222,0.4012043501315352,500.20696171173364,22.57116084884403,7721.0,test
Turmeric,Erode,2024,4,9939.142857142857,1165.5708201283583,8002.0,11089.0,30.85833333333333,1.2745641956719511,21.233333333333334,1.4963845316851772,2.649999944444444,6.853972860238718,47.699999,70.78162199999998,6.209318383324079,3.7347939722222225,0.8213155716359523,1247.9789108115147,110.70473081676775,7634.0,test
Tapioca,Salem,2016,4,584.5,67.7772085586298,532.0,672.0,36.20496845161291,2.744606969014288,26.19851538709677,1.0902199409603515,3.8290321612903226,6.319054250853035,118.699997,62.25784987096774,9.998677508345486,5.237100806451613,1.3634521579383048,22.041842388017024,29.08179486790836,25930.0,train
Tapioca,Salem,2016,8,532.0,0.0,532.0,532.0,39.20900075,0.40078081603501015,28.058999500000002,0.13462930587450164,0.825,1.202861172371941,3.3,47.332601000000004,2.6031079331140883,6.77538255,0.33359397625003273,0.0,0.0,25930.0,train
Tapioca,Salem,2017,4,1036.0,0.0,1036.0,1036.0,37.49833870967742,1.9227565409902823,26.562854580645165,1.1219708883932134,3.341935546774194,3.5989046627901304,103.60000195,57.22109206451613,7.505249414772801,5.635499854838709,0.8115574018830027,0.0,0.0,26243.0,train
Tapioca,Salem,2017,8,1036.0,0.0,1036.0,1036.0,39.669306451612904,0.8789538289960188,27.446725677419355,0.6347382784282745,0.7967741951612903,1.429523690239982,24.70000005,45.8960677419355,4.026015647886076,6.638172287096775,0.7442998468405752,0.0,0.0,26243.0,train
Tapioca,Salem,2017,12,1036.0,0.0,1036.0,1036.0,37.232209677419355,2.802985438300689,24.696725548387093,1.4549656283599377,1.3580645193548389,3.2715562230572086,42.1000001,51.453644161290335,10.336951480545098,6.582278361290323,1.3349021895659576,0.0,0.0,26243.0,train
Tapioca,Salem,2018,4,489.44444444444446,2.290614236454256,480.0,490.0,36.388661290322574,1.4426317147172427,25.827370870967744,0.810454645147968,3.029032269032258,3.7158938666742283,93.90000034,59.77059690322581,5.43702589975083,4.990862493548387,0.7538288531392456,125.07676324145288,94.92427567201416,26528.0,train
Tapioca,Salem,2018,8,490.0,0.0,490.0,490.0,38.26769354838709,1.3101878077479123,26.40962880645161,1.194975112572303,0.7516129187096775,1.8080235201982338,23.30000048,50.96721622580644,6.379638362571588,6.316793203225807,0.6264038576905903,204.23841253253286,42.07709707738461,26528.0,train
Tapioca,Salem,2018,12,490.0,0.0,490.0,490.0,36.47737096774194,2.0589845248746426,24.199951451612897,2.0047018742393345,1.3387098258064518,4.222954798559554,41.500004600000004,52.85878290322581,7.876240115673399,6.238302583870968,1.106954895160911,107.69968243557301,16.39936958596224,26528.0,train
Tapioca,Salem,2019,4,420.0,0.0,420.0,420.0,39.103177419354836,1.372801430254744,27.22253206451613,0.8420188224111389,1.1129032258064515,1.9751262818727395,34.5,52.151112838709686,5.672321986590249,5.764815732258064,0.5372164810259517,67.27162830506418,5.418081892347869,26257.0,train
Tapioca,Salem,2019,8,360.0,43.20493798938573,320.0,420.0,39.14188709677419,1.765826310777339,26.146725677419354,1.300057998025904,1.0096774225806453,2.562679399430679,31.300000100000002,49.0601574516129,7.289249390062491,6.464904303225809,1.0596693085491127,54.34553404231216,3.1640489120681585,26257.0,train
Tapioca,Salem,2019,12,300.6666666666667,50.39400317057135,230.0,340.0,38.58382258064516,1.3925156717041747,24.08543532258065,1.3938863202863816,0.1064516129032258,0.4055545656544937,3.3,44.215234064516146,6.861863924991042,7.395739780645161,0.608378017468548,26.607241238713563,19.0065808593695,26257.0,train
Tapioca,Salem,2020,4,,,,,38.60962903225807,1.3901373276774813,26.57737077419355,0.8927474427082807,1.3935484548387096,3.9108565681855443,43.2000021,53.827676580645175,6.203822587555732,6.012296851612901,0.6766090273776848,,,25978.0,train
Tapioca,Salem,2020,8,,,,,37.97575806451613,1.385206889584041,25.680596677419356,1.2815670854813093,1.0645160838709677,2.3650066023407925,32.9999986,52.41150467741935,6.773299634350135,6.263399009677418,0.9365270869153867,,,25978.0,train
Tapioca,Salem,2020,12,,,,,37.39672580645161,0.9530879764989861,23.61285461290323,1.4157339834385618,0.26129030967741934,0.968429794549873,8.0999996,51.10089835483871,5.112701556827842,6.816999348387099,0.8567874179237808,,,25978.0,train
Tapioca,Salem,2021,4,,,,,36.03382254838711,2.7101190710351415,24.9483384516129,0.8851238235041667,2.18064525483871,4.342173013183666,67.6000029,62.78733058064517,7.312946323855019,5.249990648387096,1.23202675422738,,,26290.0,val
Tapioca,Salem,2021,8,,,,,37.33543548387097,1.6737102291978567,25.40479016129032,1.2129484139232156,1.6741935564516128,4.451238881522156,51.90000025,55.076105000000005,6.905193962657582,5.929680322580645,0.9811819424888105,,,26290.0,val
Tapioca,Salem,2021,12,,,,,37.699951612903234,1.6835418662452748,23.40156425806451,1.9221583223369565,0.06774193548387097,0.3532221240049616,2.1,47.68664277419355,5.369203219251472,7.041634670967741,0.5758166189949289,,,26290.0,val
Tapioca,Salem,2022,4,,,,,34.16608061290322,2.2944828554568604,23.951564322580644,1.023521542199611,4.577419475483871,5.913173530569051,141.90000374,68.1691619032258,8.103332168766238,4.73452946451613,0.9670667982856443,,,26616.0,val
Tapioca,Salem,2022,8,,,,,37.65479032258064,1.816044517600367,25.095112645161286,0.998990000929182,1.8290322645161292,3.234211630896086,56.700000200000005,56.798243322580646,6.593915026210015,5.840002974193549,0.872545611912542,,,26616.0,val
